Place,Label,Review
Schools,Negative,"Horrible staff, no time to talk to Principal, problem in summer admission, Principal's behavior and not very good facilities.. Sorry, 1* is enough."
Public trains,Negative,Booking trains are safe and more comfort but passenger trains are not that comfort comparitively
Public trains,Negative,"Facilities tho worst,comfort okok but safety wise worst"
Public trains,Positive,"Safety , comfort"
Public trains,Positive,Good
Public trains,Positive,7
Public trains,Positive,Morning trains are useful for being on time to reach our destination.
Public trains,Positive,8
Public trains,Positive,9
Public trains,Negative,Sometimes I feel suffocated when its crowded
Public trains,Negative,It was not very clean
Public trains,Positive,Moderate
Public trains,Positive,Good
Public trains,Negative,Experience in a public train is not really that comfortable but it’s safe compared to a private mode of transport such as a cab which is more expensive . The number of facilities are small in number but they are useful like a bathroom and kitchen
Public trains,Positive,It was good only
Public trains,Positive,Good
Public trains,Negative,"Seats are not comfortable, rush, but reasonable ostly"
Public trains,Positive,Good
Public trains,Negative,"Talking about facilities, it would be better if they provide hygenic and good food. General class is not hygenic and safe to prefer. Toilets maintainance is very bad."
Public trains,Negative,Inconsistent
Public trains,Negative,Timing was nice but uncomfortable
Roads,Positive,Fine only
Roads,Positive,That is ok not that great but ok
Roads,Negative,"Potholes, not proper street lights"
Roads,Positive,Better
Roads,Positive,7
Roads,Negative,Highways are better but in rural areas potholes are the worst
Roads,Positive,8
Roads,Positive,9
Roads,Negative,Bad. The roads are uneven and potholes are everywhere
Roads,Negative,Not bad but not good
Roads,Positive,Fine
Roads,Positive,Average
Roads,Negative,"Less trees , non functional street lights and many potholes make the road prone for accidents"
Roads,Negative,I have experienced many potholes and in some areas there are no streetlights.
Roads,Positive,Good
Roads,Negative,More speedbreakers and potholes
Roads,Negative,Bad
Roads,Negative,It is good in matters of trees and streetlights but conjusted due to shops alongside the road everywhere.
Roads,Negative,Bumpy
Roads,Negative,More trees has to be there
Metro,Negative,Safe but too crowded in Bangalore metro....
Metro,Positive,That is also gooddd it is affordable to everyone i feel
Metro,Positive,"Comfort, safety, cost effective"
Metro,Positive,Not yet
Metro,Positive,8
Metro,Positive,Timing is perfect.
Metro,Positive,9
Metro,Positive,9
Metro,Positive,Crowded sometimes but good
Metro,Negative,It’s good but needs to cover more areas
Metro,Positive,Moderate
Metro,Positive,Metro is good but the crowd is not
Metro,Positive,"Fast , cost efficient and some what clean"
Metro,Positive,It was good. It’s comfortable to use metro
Metro,Positive,Good
Metro,Positive,Thrilling and joyous experience
Metro,Positive,Good
Metro,Negative,Most of the times i had to stand.Not enough seats to sit.
Metro,Positive,Efficient
Metro,Positive,Faster
Schools,Negative,"There I took my daughter to join the sixth grade,The headmaster there behaved very badly, We were so surprised and saddened by how badly the headmiss would be like this treating the parents .The way they behaved was very unfortunate.she didn't answer any of the questions we asked. Bad and worst experience"
Schools,Positive,One of the best govt schools in this locality. School is well maintained. As schools are closed due to covid crisis. This is being used as vaccination center.
electricity,Negative,It surprises me that a big city like Bengaluru faces power cut on a daily basis! Btm is the worst . Even when you pay the bill on time there are long power cut issues and no action taken. Very worst board and authorities
electricity,Negative,Electricity has become nightmare in BTM nowadays. If it rains we should die. What a horrible govt is ruling us. We feel horific situation in Bangalore. We are unable to take out the vehicles parked in front of our office. No government departments work nowadays. Bangalore may become empty very soon.
electricity,Negative,If you want a power supply don't even think about btm. Even after 10+ complaints these guys won't take any action. Just a small hint of rain power is off and sometimes you have to wait for more than 24 hrs. This is not how the electricity board of the city works. Never ever trust Bescom they are the worst you can get
electricity,Negative,What's the point of paying high bill amount if you're gonna just keep cutting power twice everyday
electricity,Negative,Worst experience the lady at the billing counter and inside was not cooperating especially because I did not speak in kannada... very bad experience
electricity,Negative,Worst experience I'm waiting from 2 days AEE E6 sub division he near used to be in office still he never came past 5 hours I'm waiting no response
electricity,Negative,Worst experience ever. Our electricity is gone for more than 48 hours and they are not responding and doing anything about it.
electricity,Negative,Wrost nowadays. Without informing power cut. Today 23:06:2024. EARLY MORNING 4 O CLOCK TO 5 CLOCK 7 TIMES POWER COME AND GO. CALL ALSO NOT ATTEND. 5 O CLOCK AFTER FULLY OFF
electricity,Negative,Nobody lifting the call. 24/7 service is myth.
electricity,Negative,Having power off @Basheer bagh near Bhartiya Vidya Bhavan King Koti raod still 4am in the morning Please take some action and check the faults as soon as possible
electricity,Positive,"Good Response, Prompt service and quick resolution"
electricity,Negative,Nobody is there to take care even medical ground every thing only based on toll-free number very poor service Meter removal without any prior information is matter of great consern
electricity,Negative,The location of this office is wrong on Google Maps... It is 500m away from the location which is currently on maps... The back entrance can be found right behind the white Masjid.
electricity,Positive,"If you can explain your issue to them, they will surely help you. But yes, like every government offices you will sent to multiple desks. I am not saying the staff is not good. All i am saying is, it's not that deficult to keep things organised."
electricity,Negative,The staff inside office will not do your work because they had tied up with agent who sit outside and charge around 10000 for any type of work good work @adani employee... but who will care to even look at this
electricity,Negative,"Seriously bad service, I visited at Adani for new connection, they not suggest properly. Restricted entry from main gate, just says online process but how to do this no one can help, out side agent charged so much money. Such poor service from Adani."
electricity,Negative,I have been there for name change and update my information on my bill the staff couldn't give proper solution later when I my query they gave a reason saying that I have to do it online as their system wasn't working fine and the worst part is online thing doesn't work at all. Not happy with the resolution and staff service
electricity,Positive,Any queries regarding Adani power supply can resolve here with your patience. And staff will give you respect when you are cooperating them in good manner.
electricity,Positive,"Has separate entrance for customer care and within customer care separate counters for getting and paying duplicate bills, it is where most visitors come."
electricity,Positive,During covid19 also we can interact with the costumer service people through vdo chat... They share thier working screen so that we also can have a look on all our transactions...
electricity,Positive,Nice place for Every querries you have on your Bill and have total 5 counters to help clients also Token system best service in near Chembur Harbour railway station towards Tilaknagar ..
electricity,Negative,It's Ok Ok Because We haven Given Application For Old Connection refixing since 4 to months reachd bt no reply
electricity,Positive,"Too good, having a great experience of high quality service there, the staff is too good and all things is well maintained and working systematic. Too good"
electricity,Negative,No one takes up the calls. Customer care number is constantly coming as avaidh no. The staff keeps you on hold for nice 15 minutes and doesn't bother to address the grievances. Pathetic service. Distroying tata name. Shame on the lazy staff.
electricity,Negative,staff and manager think they are owner of tata power no manners how to deal with customers.
electricity,Negative,"Hi, Your billing agents are terrible. They argue with consumers over change. It was just chaos out there. They work like rowdy-street gundas. They don't have any manners how to handle customers. The manager seems to always work like absent minded. The payment counter guys are like pay if you want or leave we don't care. It was horrible place to visit. Perfect example how service center should not run. They are killing brand name ""TATA""."
electricity,Negative,Customer experience is terrible. It seems like they have hired totally unprofessional staff which misbehaves. They dont have sense of handling customers properly. Work like government department. 'Bhaiyya' sitting in corner is expert in baseless arguments. 0 professionalism. He must handle customers as if he is working in cheap call centre
electricity,Positive,"Customer centric staff and not crowded, got my issue resolved very quickly"
electricity,Positive,Service was good and Mrs anupama pandey the executive of Tata Power had a very positive attitude & very easily resolved the problem.
electricity,Negative,"Only two counters active and they won't listen to customer queries and always unhelpful. awful service, time consuming. one must reserve half a day to sit in front of the helpdesk agent."
electricity,Positive,Sageer Shaikh was very helpful and guided me with my request. He certainly deserves a raise and appreciation!!!! Thank you
electricity,Positive,Bill payment is fast & easy. Customer service staff is helpful. Easy to notice from normal vehicular traffic. No wheelchair access though.
electricity,Positive,Service was good and Mr. Vikas the executive of Tata Power had a very positive attitude & very easily resolved the problem.
electricity,Negative,They are hopeless people as customer care services.they only take due payment emiditaly but if any line is cut they say pay all due and person who joints line again' will come as per his time .within his duty time 9am to 5pm if no time that day next day he will come
electricity,Positive,It is a very beautiful place and I loved that road diveder disine which was filled with plants and different kinds of animals statue
electricity,Positive,Good service by all staff very co operative helpfulness and poliet
electricity,Negative,"Their working hrs are between 9am and 1pm on 2nd & 4th Saturday. This is not updated on the web. When I asked them, they showed me a board which was written with their working hrs. How can I see this board from my home. Pathetic.....should update this information on web."
electricity,Negative,"Always error. Always under repair. Always the advice "" Try after sometime"". Always obstacle in showing bill balance and it's payment. Most bogus online service. Agonizing."
electricity,Negative,"Pathetic service. Their website is a joke you can't even check your meter balance. Even after recharge it will take hours to resume your power supply. Helpline number 1912 is always busy. If you are extremely lucky & someone picks up the phone, they will leave you with a complaint number & an empty promise."
electricity,Positive,"SBPDCL smart. Meter charge is very high in rural areas, earlier the normal meter was more than 150 to 200 per month, after the arrival of smart meter it is charging 400 to 500 per month. Who should I complain to?"
electricity,Negative,"Very bad service in Rajeev Nagar,Patna. Electricity is gone for more than 3 times a day in this hot summer (including nights) for almost an hour or sometimes even more than 1 hour."
electricity,Negative,"Worst sbpdcl service team, poor website maintenance, not able to recharge properly bad Billing system. Ban this prepaid meter."
electricity,Negative,"South Bihar Power Distribution Company Limited (SBPDCL) provides essential electricity services but struggles with frequent power outages and unreliable customer support. While the company has made strides in offering online services, overall reliability and responsiveness need significant improvement to meet consumer expectations."
electricity,Positive,sbpdcl is services are now very good. instant updation of electric dues. no power cuts in our area. only demarit is 8rs per unit which is quite high
electricity,Negative,Please Change your Phone number 🙏 …
electricity,Positive,Hard work
electricity,Positive,Located on main road. Easily visible from traffic.
electricity,Positive,Mst company hai
electricity,Positive,Better services
electricity,Negative,"Formation of Bihar State Power Holing Company is a revolutionary step in the state of Bihar. We hope it shall minimize the problems of customers of Electricity in Bihar. As a customer of Ara town, we face lots of problem during the payment of electricity Bills at counters as there is no civic arrangement for electricity bill payers. It is requested that at least Computarised Collection of bills may please be provided(as all the Collection work and issuance of Money receipt is done by officials manually, which takes immense time) as we have to wait for our turn at counter for more than 2 hours in a single fetch. I hope Managing Director of the company will take personal interest in this regard for an early solution of our problem. Thanking you."
electricity,Positive,Here is office of North and South(Opp) Bihar Power Distribution Corporation Limited. Huge building with every room air conditioned.
electricity,Positive,Very good
electricity,Positive,BSPHCL- Full corporate culture of working with nice interior. Energy cafe where all arrangement for sitting is developed from the scrap material of electricity. Apna BIHAR khusihal BIHAR....
electricity,Negative,"It manages very well the power system of State like Bihar, where population is highly dense. But, power cut and bad customer service is a big deal."
electricity,Positive,"There is energy cafe,food is great at very cost effective price. Lot of space for parking inside and outside BSPHCL office."
electricity,Negative,This company doesn't give the response
electricity,Negative,very corrupt place
electricity,Negative,It's too bad for public and students...it's TOO bad for public and students...
electricity,Positive,Save electricity
electricity,Negative,the number of units we use in amonth has to be reduced
electricity,Negative,"street lights will be turned on till 11 am, very bad"
electricity,Positive,switch off lights and fans when not necessary
sewage system,Negative,bad smell
sewage system,Negative,Went for property tax collection drive
sewage system,Positive,Awesome.
sewage system,Positive,"The whole idea of ECO-STP is amazing and as a student, I was inspired by their sustainable practices in the sewage plant."
sewage system,Positive,more drains have to be constructed
sewage system,Negative,"they wont clean the drainage at all, it smells bad"
sewage system,Negative,ecologically dead
sewage system,Positive,The government should act promptly to improve sewage systems.
sewage system,Positive,Improving sewage systems would enhance public health significantly.
sewage system,Negative,I’m disappointed by the poor state of sewage management here.
sewage system,Negative,    Sewage systems in our city are outdated and lead to frequent overflow issues.
sewage system,Positive,    The government needs to invest more in modernizing sewage infrastructure.
sewage system,Negative,"    In monsoon season, our roads flood due to inefficient sewage systems."
sewage system,Negative,    Public health is at risk due to untreated sewage in urban areas.
sewage system,Negative,"    The sewage system in my area is quite effective, but maintenance is lacking."
sewage system,Negative,    I’m tired of the smell near sewage treatment plants.
sewage system,Positive,"Sewage management is ignored in urban planning, which is unfortunate."
sewage system,Positive,We need more awareness on waste segregation to help sewage systems function better.
sewage system,Negative,Sewage overflow is common during festivals when waste generation increases.
sewage system,Negative,There is poor awareness among citizens on sewage management.
sewage system,Negative,Our city’s sewage infrastructure is over 20 years old and falling apart.
sewage system,Negative,There are not enough sewage treatment facilities in rural-urban areas.
sewage system,Negative,I rarely see any significant upgrades in sewage systems here.
sewage system,Negative,Our community suffers from frequent sewage backflows into homes.
sewage system,Positive,Sewage infrastructure improvements are necessary for urban growth.
sewage system,Negative,I feel like sewage systems get less attention compared to other infrastructure.
sewage system,Negative,Inadequate sewage systems are impacting the environment badly.
sewage system,Negative,Most of the sewage treatment plants here are not fully operational.
sewage system,Negative,The bad odor from open drains is unbearable.
sewage system,Positive,I think the city council should prioritize sewage system repairs.
sewage system,Positive,We need better policies for efficient sewage disposal.
sewage system,Negative,There’s a lack of funding for upgrading sewage systems.
sewage system,Negative,"Sometimes sewage overflows into streets, making them unlivable."
sewage system,Positive,Sewage issues impact our day-to-day life and health.
sewage system,Negative,I think sewage infrastructure is poorly designed for city needs.
sewage system,Positive,There needs to be stricter regulation on sewage disposal practices.
sewage system,Negative,The funds allocated for sewage systems are not used efficiently.
sewage system,Positive,I wish authorities took sewage complaints more seriously.
sewage system,Negative,"During heavy rains, sewage mixes with stormwater, causing major issues."
sewage system,Negative,Inadequate sewage systems lead to mosquito breeding and diseases.
sewage system,Positive,Drain cleaning should be done more frequently to avoid clogging.
sewage system,Positive,Local authorities should conduct regular checks on sewage conditions.
sewage system,Positive,Regular maintenance could resolve many sewage issues.
sewage system,Negative,"Despite government efforts, sewage management remains a huge issue in my city."
sewage system,Negative,The waste from industries is not treated properly and adds to sewage issues.
sewage system,Positive,Citizens should be involved in discussions about sewage infrastructure.
sewage system,Positive,Sewage treatment is crucial for preventing pollution of rivers and lakes.
sewage system,Negative,"Every rainy season, sewage problems get worse here."
sewage system,Negative,"My locality has regular sewage blockages, making it unhygienic."
sewage system,Positive,Proper sewage treatment is essential for urban sustainability.
sewage system,Positive,Public awareness campaigns on sewage impact would be helpful.
sewage system,Negative,New construction projects worsen existing sewage issues.
sewage system,Negative,Our city lacks a robust sewage treatment plan.
sewage system,Negative,Most sewage treatment plants are inefficient and poorly maintained.
sewage system,Negative,The open sewage drains are a breeding ground for flies and mosquitoes.
sewage system,Negative,I appreciate the efforts but more needs to be done in sewage management.
sewage system,Negative,Many urban areas don’t have proper sewage coverage.
sewage system,Negative,The pipes used in sewage systems are prone to frequent damage.
sewage system,Negative,Sewage infrastructure seems outdated and in need of serious upgrades.
sewage system,Positive,"Clean, modern sewage systems should be a basic urban necessity."
sewage system,Positive,We need sewage system inspections more frequently in our area.
sewage system,Positive,We could benefit from better sewage treatment facilities.
sewage system,Negative,It’s frustrating to see untreated sewage flowing into rivers.
sewage system,Positive,Waste segregation at the household level could reduce sewage load.
sewage system,Positive,Sewage systems should be designed to handle growing urban populations.
sewage system,Positive,Sewage issues are often neglected until they become major problems
sewage system,Negative,Overflowing sewage has led to disease outbreaks in my area.
sewage system,Positive,Sewage treatment should be a priority for government budgets.
sewage system,Positive,Government should enforce stricter norms for industrial sewage discharge.
sewage system,Positive,More funds should be directed towards sewage system research and innovation.
sewage system,Positive,The government should make sewage infrastructure a top priority.
sewage system,Negative,Sewage infrastructure development is too slow to meet current demands.
sewage system,Negative,The local sewage plant often faces breakdowns and disrupts services.
sewage system,Negative,Poorly managed sewage causes major sanitation issues here.
sewage system,Negative,Drain blockages are common due to inadequate sewage systems.
sewage system,Negative,"Sewage leaks cause water contamination, posing health hazards."
sewage system,Positive,Effective sewage management is key to a clean and healthy environment.
sewage system,Negative,Sewage overflows have made our roads a mess during monsoons.
sewage system,Positive,We need more public-private partnerships for sewage management.
sewage system,Positive,A better sewage system would improve the quality of life for everyone.
sewage system,Positive,I think modern sewage technology should be introduced in India.
sewage system,Negative,Sewage leaks are common in old residential areas.
sewage system,Positive,There should be a clear plan for sewage infrastructure in urban planning.
sewage system,Negative,Our local sewage treatment plant barely operates at full capacity.
sewage system,Negative,Poor drainage and sewage lead to unsanitary living conditions.
sewage system,Negative,It's disappointing that sewage infrastructure isn’t prioritized more.
sewage system,Negative,Our locality’s sewage needs a major upgrade for better sanitation.
sewage system,Negative,Inadequate sewage systems are a barrier to urban development.
sewage system,Positive,Sewage systems need more government attention and support.
sewage system,Positive,Many sewage problems could be fixed with regular maintenance.
sewage system,Positive,I wish we had a modern sewage system like in other cities.
sewage system,Negative,Sewage water contaminates the local water supply at times.
sewage system,Negative,"Every monsoon, we experience severe sewage-related issues."
sewage system,Negative,Sewage pollution is a real threat to the ecosystem.
sewage system,Positive,Sewage management is crucial for maintaining public hygiene.
sewage system,Negative,Our locality needs an urgent sewage system overhaul.
sewage system,Negative,Sewage issues lead to frequent complaints from the public.
sewage system,Negative,"During high rainfall, sewage often overflows into residential areas."
sewage system,Positive,It’s time we modernize sewage systems across urban areas.
sewage system,Positive,An efficient sewage system would greatly benefit our area.
sewage system,Positive,More transparency is needed in sewage system maintenance activities.
sewage system,Positive,We should have community meetings to address sewage concerns.
sewage system,Positive,The city’s sewage infrastructure has seen little improvement.
sewage system,Negative,Old sewage systems are unable to cope with the current population density.
sewage system,Negative,Sewage problems have been persistent for decades here.
sewage system,Positive,Better sewage systems can reduce health risks for residents.
sewage system,Negative,Sewage issues are especially tough during the festival season.
sewage system,Negative,"Sewage systems here often face breakdowns, leading to overflow."
sewage system,Positive,We need effective sewage solutions for better living standards.
sewage system,Positive,There’s a need for better sewage monitoring and regulation.
sewage system,Positive,An efficient sewage system should be a priority for any urban area.
sewage system,Negative,Public health suffers due to poor sewage management.
sewage system,Negative,We face sewage issues regularly in our neighborhood.
sewage system,Negative,Sewage leaks contribute to unhygienic conditions in the city.
sewage system,Positive,The government should allocate more funds for sewage projects.
sewage system,Negative,I feel like sewage system issues are ignored by local officials.
sewage system,Positive,Proper disposal of sewage is essential to avoid groundwater contamination.
sewage system,Negative,The sewage system here doesn’t meet modern standards.
sewage system,Negative,I think funds are mismanaged when it comes to sewage improvements.
sewage system,Negative,Poor sewage leads to foul smells that affect local businesses.
electricity,Negative,"Power cuts are too frequent in our area, making life difficult."
electricity,Negative,It's frustrating to experience so many power outages every week.
electricity,Negative,"Our area faces blackout at least twice a week, it's unbearable."
electricity,Positive,Smart meters could help reduce billing inaccuracies.
electricity,Negative,"We have power cuts during heatwaves, which is so hard to bear."
electricity,Negative,It's hard to study with frequent electricity disruptions.
electricity,Negative,"Electricity cuts are so random, and there's no proper schedule."
electricity,Negative,The response time to power cuts is very slow in our area.
electricity,Negative,Electricity cuts during online classes disrupt our learning.
electricity,Negative,The electricity infrastructure is too old and needs upgrading.
electricity,Positive,Rural electrification programs should be prioritized.
electricity,Positive,The utility companies should be more accountable to consumers.
electricity,Positive,The government should ensure 24/7 electricity supply for all.
electricity,Positive,Investing in solar energy would help alleviate power issues.
electricity,Negative,The voltage instability is damaging our electronic devices.
electricity,Negative,Power cuts seem to be more common in poorer neighborhoods.
electricity,Negative,Better load management could reduce power cuts during peak times.
electricity,Negative,Electricity distribution seems poorly managed in my area.
electricity,Negative,"Electricity is a basic need, but its supply is still inconsistent."
electricity,Positive,The government should encourage more renewable energy sources.
electricity,Negative,"In rural areas, the power cuts last for hours on end."
electricity,Negative,There is no proper response system for power failure complaints.
electricity,Positive,The power company should use modern tech to track outages.
electricity,Negative,"Power cuts disturb the entire community, not just individual homes."
electricity,Negative,We rarely get any notice before a power outage occurs.
electricity,Positive,The billing system should be more customer-friendly and accurate.
electricity,Negative,Our electricity bills are high despite constant power issues.
electricity,Negative,"Electricity theft is a major problem, and it affects regular users."
electricity,Positive,We need more investment in electricity infrastructure upgrades.
electricity,Positive,Our area needs better transformers to handle the load.
electricity,Negative,Inconsistent power supply makes it hard to run a business.
electricity,Negative,Electricity problems make it hard to work from home.
electricity,Positive,Electricity supply should be stable across all regions.
electricity,Negative,"Street lights are often left on during the day, wasting electricity."
electricity,Positive,A stable power supply would improve quality of life for all.
electricity,Negative,"We are tired of frequent power cuts, even for basic needs."
electricity,Positive,Electricity issues impact local industries and small businesses.
electricity,Negative,The power grid needs a major overhaul in our area.
electricity,Positive,I think government should invest in alternative power sources.
electricity,Negative,Our household often faces low voltage issues in the evening.
electricity,Negative,Power cuts during monsoons are especially problematic here.
electricity,Negative,The maintenance work on power lines is very poorly managed.
electricity,Negative,The quality of electricity service hasn't improved over the years.
electricity,Negative,"My electricity bill is unpredictable, it changes every month."
electricity,Positive,There should be more government initiatives to ensure better power supply.
electricity,Positive,The power companies should focus on reducing electricity theft.
electricity,Positive,We need backup options like solar panels for stable power.
electricity,Negative,Electricity theft should be addressed to stabilize the grid.
electricity,Positive,Electricity infrastructure should match the growing population.
electricity,Positive,I think electricity providers need to improve their services.
electricity,Positive,Renewable energy should be integrated into our power grid.
electricity,Positive,I think we need more reliable sources of electricity in the city.
electricity,Positive,We need better infrastructure for uninterrupted power supply.
electricity,Positive,There should be a dedicated helpline for reporting power issues.
electricity,Positive,Rural households deserve better access to electricity.
electricity,Negative,"In winters, we face severe electricity cuts without any prior notice."
electricity,Negative,"I wish they would provide a steady supply, at least during night."
electricity,Negative,Electricity maintenance work takes too long to complete.
electricity,Negative,Frequent blackouts are a nuisance for our entire neighborhood.
electricity,Negative,The voltage fluctuation damages our appliances frequently.
electricity,Negative,"Power outages are common, and there’s no accountability."
electricity,Negative,Electricity issues are particularly bad during festivals.
electricity,Negative,Frequent blackouts have become a part of our daily life.
electricity,Negative,Power issues increase drastically in the rainy season.
electricity,Negative,Electricity distribution here is outdated and unreliable.
electricity,Negative,The billing system is not transparent and seems inflated.
electricity,Negative,High electricity bills don’t justify the poor service we receive.
electricity,Negative,The power supply during peak hours is very unreliable.
electricity,Positive,Electricity load management should be improved for summers.
electricity,Negative,Our power grid is too outdated to handle peak demand efficiently.
electricity,Positive,Regular upgrades in power infrastructure would benefit everyone.
electricity,Negative,Electricity issues affect not just homes but public spaces too.
electricity,Negative,"In rural areas, electricity is not available for most of the day."
electricity,Negative,"We need a more reliable electricity supply, especially in summer."
electricity,Negative,Electricity rates have increased but service quality hasn't improved.
park,Positive,"Enjoyed our first to visit to this park, wish we had more time to spend here. Park itself is well maintained and kept for the most part. All staff and department of forest services were very helpful and kind. We only had a chance to do the boat riding."
Water Supply,Negative,No water tankers it seems and there’s no water today in a premium gated A builder society.
Water Supply,Negative,"Absolutely no water problems in our area in South Bangalore. We have never needed tanker water, not even at the height of this past summer's water crisis. We get enough Kaveri water and our bore well water is adequate."
Water Supply,Negative,Water crisis? Absolutely alien concept in Basavanagudi
Water Supply,Negative,"It’s not even the end of the monsoon , and you are already suffering a water crisis..
The society didnt plan well for getting water tankers beforehand? Water crisis is a reality in all cities, not only in Bangalore. In our society, we faced water crisis during peak summer this year, so the association is calling water tankers from summer and we are still comtinuing to use water tankers to make sure, the tankers will be available for the peak summer next year. Even though, our borewell has water now."
Water Supply,Negative,Theres water shortage and water has too much bleach
Water Supply,Negative,"The water supplied is hard water, it is ruining peoples hair and skin health. The bathrooms are gettting this white layer also."
Water Supply,Negative,There is algae and some kind of green stuff in the water. It needs to be looked into immediately
Water Supply,Negative,"In the residential buildings in pune, there is no consistent water supply as city municipal do not have all the permissions for developers."
Water Supply,Negative,"Since last 3 months there is water supply problem in Hindupuram 
Weekly once they are releasing water in taps. please take this concern seriously and resolve this issue ASAP "
Water Supply,Negative,"During the festive season at the National Capital, the air is polluted & there seems to be no relief in the future. Additionally, the water supply has been impacted due to polluted rivers.
Polluted air & water crisis.
Now try to fit  this into the narrative of developed India"
Water Supply,Negative,"""No water supply in prime locations today: Water crisis in Lutyens’ Delhi amid Yamuna’s toxicity.""

Sadly though, even when the Super Elite neighbourhoods of India's capital city - where ministers, MPs, high court, supreme court judges and top  notch bureaucrats live in colonial splendour- are impacted by the water crisis, our rulers don't wake up to make common cause with ordinary mortals. 

They will simply make the govt pay for supplying them much larger quantity of Bisleri bottled water than is allotted to them on normal days!"
Water Supply,Negative," Water supply is disrupted in Service Center 351 of Lodhi Road Complex, New Delhi since 24/10/2024 to till now. All the residents are facing a lot of trouble but the CPWD Service Center is completely unaware of the problems of the residents. "
Water Supply,Negative,We are also suffering from water shortage since one week there is no water supply in the diLShad garden .delhi jal board destroy our festive season
Water Supply,Negative,Agreed. We are better. Now can we talk or discuss things where we significantly lack?? How bad is our urban infrastructure & planning is? How bad our waste management is?? (We are dirtiest big state in India). We have water supply issues. R we gonna discuss these ever?
Water Supply,Negative,"When all lakes are full and lot of water stored , why hmwssb not supplying tap water daily ? What is policy of proving water alternate days ?"
Water Supply,Negative,No Water Supply on Friday for 12 hours in these areas of national capital Delhi.
Water Supply,Negative,"This is a joke at taxpayers expense 

Large swathes of #Pune still don't water from #PMC, are dependent on private, extortionate tankers (probably the largest population in India not getting water supply)"
Water Supply,Negative," Well of death in #Telangana village turns water into poison

These deaths are ironic. In India’s first state to boast of 100% tap water supply, death came in the form of contaminated water but it was politics that took precedence."
Water Supply,Negative,No water supply in Karol Bagh since 4 days
